threads,client_threads,workload,dist,throughput_ops_per_sec
1,64,ycsba,uniform,1928052
1,64,ycsba,zipfian,1933737
1,64,ycsbb,uniform,1949806
1,64,ycsbb,zipfian,1971933
1,64,ycsbc,uniform,1971407
1,64,ycsbc,zipfian,1966476
2,64,ycsba,uniform,3006927
2,64,ycsba,zipfian,3003037
2,64,ycsbb,uniform,3023157
2,64,ycsbb,zipfian,3018666
2,64,ycsbc,uniform,3020780
2,64,ycsbc,zipfian,3018666
3,64,ycsba,uniform,3036590
3,64,ycsba,zipfian,3035009
3,64,ycsbb,uniform,3066572
3,64,ycsbb,zipfian,3070986
3,64,ycsbc,uniform,3068224
3,64,ycsbc,zipfian,3069621
4,64,ycsba,uniform,3022894
4,64,ycsba,zipfian,3016925
4,64,ycsbb,uniform,3031735
4,64,ycsbb,zipfian,3051627
4,64,ycsbc,uniform,3045447
4,64,ycsbc,zipfian,3047417
5,64,ycsba,uniform,3050905
5,64,ycsba,zipfian,3052777
5,64,ycsbb,uniform,3063921
5,64,ycsbb,zipfian,3066016
5,64,ycsbc,uniform,3075671
5,64,ycsbc,zipfian,3064551
6,64,ycsba,uniform,3039434
6,64,ycsba,zipfian,3034727
6,64,ycsbb,uniform,3063142
6,64,ycsbb,zipfian,3055605
6,64,ycsbc,uniform,3057696
6,64,ycsbc,zipfian,3050086
7,64,ycsba,uniform,3035160
7,64,ycsba,zipfian,3029954
7,64,ycsbb,uniform,3050466
7,64,ycsbb,zipfian,3041949
7,64,ycsbc,uniform,3042491
7,64,ycsbc,zipfian,3054995
8,64,ycsba,uniform,3011324
8,64,ycsba,zipfian,3005945
8,64,ycsbb,uniform,3026312
8,64,ycsbb,zipfian,3025817
8,64,ycsbc,uniform,3031809
8,64,ycsbc,zipfian,3027937
