threads,client_threads,workload,dist,throughput_ops_per_sec
1,8,ycsba,zipfian,1876882
1,16,ycsba,zipfian,2070416
1,32,ycsba,zipfian,2097809
1,64,ycsba,zipfian,2157558
1,80,ycsba,zipfian,2152875
1,96,ycsba,zipfian,2241380
1,112,ycsba,zipfian,2238158
1,128,ycsba,zipfian,2312272
1,144,ycsba,zipfian,2340132
1,160,ycsba,zipfian,2191638
2,8,ycsba,zipfian,2419395
2,16,ycsba,zipfian,3945709
2,32,ycsba,zipfian,4682164
2,64,ycsba,zipfian,4897740
2,80,ycsba,zipfian,5034341
2,96,ycsba,zipfian,4936358
2,112,ycsba,zipfian,5000771
2,128,ycsba,zipfian,5322615
2,144,ycsba,zipfian,5089594
2,160,ycsba,zipfian,5074116
3,8,ycsba,zipfian,2417229
3,16,ycsba,zipfian,4683326
3,32,ycsba,zipfian,7424458
3,64,ycsba,zipfian,7937361
3,80,ycsba,zipfian,7862118
3,96,ycsba,zipfian,8749422
3,112,ycsba,zipfian,8337642
3,128,ycsba,zipfian,8333380
3,144,ycsba,zipfian,8485635
3,160,ycsba,zipfian,8496327
1,8,ycsbb,zipfian,1926712
1,16,ycsbb,zipfian,2209028
1,32,ycsbb,zipfian,2260143
1,64,ycsbb,zipfian,2355116
1,80,ycsbb,zipfian,2266474
1,96,ycsbb,zipfian,2339189
1,112,ycsbb,zipfian,2461466
1,128,ycsbb,zipfian,2332773
1,144,ycsbb,zipfian,2542712
1,160,ycsbb,zipfian,2370259
1,8,ycsbc,zipfian,1928649
1,16,ycsbc,zipfian,2237287
1,32,ycsbc,zipfian,2294965
1,64,ycsbc,zipfian,2431535
1,80,ycsbc,zipfian,2397771
1,96,ycsbc,zipfian,2473279
1,112,ycsbc,zipfian,2402775
1,128,ycsbc,zipfian,2378132
1,144,ycsbc,zipfian,2415930
1,160,ycsbc,zipfian,2437423
2,8,ycsbb,zipfian,2425347
2,16,ycsbb,zipfian,3987567
2,32,ycsbb,zipfian,4938021
2,64,ycsbb,zipfian,5330527
2,80,ycsbb,zipfian,6509249
2,96,ycsbb,zipfian,5470173
2,112,ycsbb,zipfian,5553425
2,128,ycsbb,zipfian,5725413
2,144,ycsbb,zipfian,5677707
2,160,ycsbb,zipfian,5630987
2,8,ycsbc,zipfian,2409487
2,16,ycsbc,zipfian,3998139
2,32,ycsbc,zipfian,5009636
2,64,ycsbc,zipfian,5322868
2,80,ycsbc,zipfian,5427210
2,96,ycsbc,zipfian,5509010
2,112,ycsbc,zipfian,5483383
2,128,ycsbc,zipfian,5558507
2,144,ycsbc,zipfian,5662914
2,160,ycsbc,zipfian,5509247
3,8,ycsbb,zipfian,2475682
3,16,ycsbb,zipfian,4689680
3,32,ycsbb,zipfian,7820199
3,64,ycsbb,zipfian,9016911
3,80,ycsbb,zipfian,8838929
3,96,ycsbb,zipfian,9062086
3,112,ycsbb,zipfian,9406498
3,128,ycsbb,zipfian,9293177
3,144,ycsbb,zipfian,9274324
3,160,ycsbb,zipfian,9164705
3,8,ycsbc,zipfian,2466006
3,16,ycsbc,zipfian,4678437
3,32,ycsbc,zipfian,7862279
3,64,ycsbc,zipfian,8983537
3,80,ycsbc,zipfian,9127953
3,96,ycsbc,zipfian,9278449
3,112,ycsbc,zipfian,9312865
3,128,ycsbc,zipfian,9600594
3,144,ycsbc,zipfian,9270283
3,160,ycsbc,zipfian,9465222
4,8,ycsbb,zipfian,2469651
4,16,ycsbb,zipfian,4957966
4,32,ycsbb,zipfian,8839871
4,64,ycsbb,zipfian,11727127
4,80,ycsbb,zipfian,11856532
4,96,ycsbb,zipfian,14578666
4,112,ycsbb,zipfian,12235085
4,128,ycsbb,zipfian,12239717
4,144,ycsbb,zipfian,13003566
4,160,ycsbb,zipfian,12687248
4,8,ycsbc,zipfian,2465322
4,16,ycsbc,zipfian,4881826
4,32,ycsbc,zipfian,8936853
4,64,ycsbc,zipfian,12115616
4,80,ycsbc,zipfian,12030005
4,96,ycsbc,zipfian,12135973
4,112,ycsbc,zipfian,12417075
4,128,ycsbc,zipfian,12511680
4,144,ycsbc,zipfian,12540550
4,160,ycsbc,zipfian,12564545
5,8,ycsbb,zipfian,2457726
5,16,ycsbb,zipfian,5038813
5,32,ycsbb,zipfian,9242180
5,64,ycsbb,zipfian,12589999
5,80,ycsbb,zipfian,12692008
5,96,ycsbb,zipfian,12959232
5,112,ycsbb,zipfian,12940564
5,128,ycsbb,zipfian,13083156
5,144,ycsbb,zipfian,13079956
5,160,ycsbb,zipfian,13120066
5,8,ycsbc,zipfian,2436118
5,16,ycsbc,zipfian,5007228
5,32,ycsbc,zipfian,9075248
5,64,ycsbc,zipfian,12770435
5,80,ycsbc,zipfian,12863463
5,96,ycsbc,zipfian,13720669
5,112,ycsbc,zipfian,13045339
5,128,ycsbc,zipfian,13030448
5,144,ycsbc,zipfian,13244050
5,160,ycsbc,zipfian,13045174
6,8,ycsbb,zipfian,2399436
6,16,ycsbb,zipfian,5031746
6,32,ycsbb,zipfian,9542719
6,64,ycsbb,zipfian,12741016
6,80,ycsbb,zipfian,12702088
6,96,ycsbb,zipfian,13413701
6,112,ycsbb,zipfian,13487906
6,128,ycsbb,zipfian,13246056
6,144,ycsbb,zipfian,13122500
6,160,ycsbb,zipfian,13083286
6,8,ycsbc,zipfian,2436208
6,16,ycsbc,zipfian,5005277
6,32,ycsbc,zipfian,9525442
6,64,ycsbc,zipfian,13025408
6,80,ycsbc,zipfian,12975703
6,96,ycsbc,zipfian,12967951
6,112,ycsbc,zipfian,12962349
6,128,ycsbc,zipfian,13146717
6,144,ycsbc,zipfian,13115812
6,160,ycsbc,zipfian,13202597
7,8,ycsbb,zipfian,2461989
7,16,ycsbb,zipfian,5008411
7,32,ycsbb,zipfian,9728206
7,64,ycsbb,zipfian,12733678
7,80,ycsbb,zipfian,12918457
